OID,Numeric OID,YANG Xpath,YANG Module
.iso.org.dod.internet.mgmt.mib-2.entityMIB.entityMIBObjects.entityMapping.entPhysicalContainsTable.entPhysicalContainsEntry.entPhysicalChildIndex.<>,.1.3.6.1.2.1.47.1.3.3.1.1.<>,/ospf-oper-data/ospf-state/ospf-instance/ospf-area/ospf-interface/hello-interval,Cisco-IOS-XE-ospf-oper
.iso.org.dod.internet.mgmt.mib-2.ospf.ospfNbrTable.ospfNbrEntry.ospfNbrIpAddr.<>,.1.3.6.1.2.1.14.10.1.1.<>,/ospf-oper-data/ospf-state/ospf-instance/ospf-area/ospf-interface/ospf-neighbor/address,Cisco-IOS-XE-ospf-oper
.iso.org.dod.internet.mgmt.mib-2.entityMIB.entityMIBObjects.entityPhysical.entPhysicalTable.entPhysicalEntry.entPhysicalParentRelPos.<>,.1.3.6.1.2.1.47.1.1.1.1.6.<>,/ospf-oper-data/ospf-state/ospf-instance/ospf-area/ospf-interface/ospf-neighbor/stats/nbr-event-count,Cisco-IOS-XE-ospf-oper
.iso.org.dod.internet.mgmt.mib-2.ospf.ospfIfTable.ospfIfEntry.ospfIfState.<>,.1.3.6.1.2.1.14.7.1.12.<>,/ospf-oper-data/ospf-state/ospf-instance/ospf-area/ospf-interface/retransmit-interval,Cisco-IOS-XE-ospf-oper
.iso.org.dod.internet.mgmt.mib-2.ospf.ospfLsdbTable.ospfLsdbEntry.ospfLsdbChecksum.<>,.1.3.6.1.2.1.14.4.1.7.<>,/ospf-oper-data/ospfv2-instance/ospfv2-area/ospfv2-lsdb-area/lsa-checksum,Cisco-IOS-XE-ospf-oper
.iso.org.dod.internet.mgmt.mib-2.powerEthernetMIB.pethObjects.pethMainPseObjects.pethMainPseTable.pethMainPseEntry.pethMainPsePower.<>,.1.3.6.1.2.1.105.1.3.1.1.2.<>,/poe-oper-data/poe-module/available-power,Cisco-IOS-XE-poe-oper
.iso.org.dod.internet.mgmt.mib-2.powerEthernetMIB.pethObjects.pethMainPseObjects.pethMainPseTable.pethMainPseEntry.pethMainPseConsumptionPower.<>,.1.3.6.1.2.1.105.1.3.1.1.4.<>,/poe-oper-data/poe-switch/consumed-poe-power,Cisco-IOS-XE-poe-oper
.iso.org.dod.internet.private.enterprises.cisco.ciscoMgmt.ciscoPtpMIB.ciscoPtpMIBObjects.ciscoPtpMIBClockInfo.cPtpClockDefaultDSTable.cPtpClockDefaultDSEntry.cPtpClockDefaultDSQualityOffset,.1.3.6.1.4.1.9.9.760.1.2.3.1.11,/ptp-synce-oper-data/ptp-dataset/clock-quality/offset-scaled-log-var,Cisco-IOS-XE-ptp-synce-oper
.iso.org.dod.internet.private.enterprises.cisco.ciscoMgmt.ciscoPtpMIB.ciscoPtpMIBObjects.ciscoPtpMIBClockInfo.cPtpClockCurrentDSTable.cPtpClockCurrentDSEntry.cPtpClockCurrentDSStepsRemoved,.1.3.6.1.4.1.9.9.760.1.2.1.1.4,/ptp-synce-oper-data/ptp-dataset/current-dataset/steps-removed,Cisco-IOS-XE-ptp-synce-oper
.iso.org.dod.internet.private.enterprises.cisco.ciscoMgmt.ciscoPtpMIB.ciscoPtpMIBObjects.ciscoPtpMIBClockInfo.cPtpClockRunningTable.cPtpClockRunningEntry.cPtpClockRunningPacketsReceived,.1.3.6.1.4.1.9.9.760.1.2.4.1.6,/ptp-synce-oper-data/ptp-dataset/runtime-state/pkts-rcvd,Cisco-IOS-XE-ptp-synce-oper
.iso.org.dod.internet.private.enterprises.cisco.ciscoMgmt.ciscoPtpMIB.ciscoPtpMIBObjects.ciscoPtpMIBClockInfo.cPtpClockRunningTable.cPtpClockRunningEntry.cPtpClockRunningPacketsSent,.1.3.6.1.4.1.9.9.760.1.2.4.1.5,/ptp-synce-oper-data/ptp-dataset/runtime-state/pkts-sent,Cisco-IOS-XE-ptp-synce-oper
.iso.org.dod.internet.private.enterprises.cisco.ciscoMgmt.ciscoPtpMIB.ciscoPtpMIBObjects.ciscoPtpMIBClockInfo.cPtpClockTimePropertiesDSTable.cPtpClockTimePropertiesDSEntry.cPtpClockTimePropertiesDSCurrentUTCOffset,.1.3.6.1.4.1.9.9.760.1.2.5.1.5,/ptp-synce-oper-data/ptp-dataset/time-properties/current-utc-offset,Cisco-IOS-XE-ptp-synce-oper
